Wall time,Step,Value
1656923139.8101175,1,0.12310859560966492
1656923213.7596517,2,0.2710735499858856
1656923287.195745,3,0.3485177457332611
1656923360.8831863,4,0.39541351795196533
1656923434.7414675,5,0.4282674491405487
1656923508.7112055,6,0.4588843882083893
1656923582.076683,7,0.4778095483779907
1656923656.6108766,8,0.49670109152793884
1656923730.082834,9,0.5075957775115967
1656923803.8096976,10,0.5297208428382874
1656923877.1484592,11,0.5523335933685303
1656923951.1825085,12,0.5505535006523132
1656924024.4725919,13,0.5920132994651794
1656924098.0255625,14,0.5791032910346985
1656924171.470831,15,0.5973056554794312
1656924244.8887162,16,0.6005590558052063
1656924318.9074557,17,0.6102995276451111
1656924392.7924247,18,0.625691294670105
1656924466.5494921,19,0.6314181685447693
1656924540.572022,20,0.6419985294342041
1656924614.158018,21,0.6409679651260376
1656924687.9358203,22,0.6550849080085754
1656924761.1031604,23,0.6549498438835144
1656924834.748005,24,0.6644463539123535
1656924908.0296576,25,0.6723890900611877
1656924981.5314462,26,0.6662735342979431
1656925055.290172,27,0.6813763380050659
1656925129.1010823,28,0.6766886711120605
1656925202.6531494,29,0.6906791925430298
1656925276.3148272,30,0.6945850253105164
1656925350.197134,31,0.7021699547767639
1656925424.15255,32,0.702276885509491
1656925497.360628,33,0.7069925665855408
1656925570.678013,34,0.6910261511802673
1656925644.1119998,35,0.7156740427017212
1656925717.4152212,36,0.7244168519973755
1656925790.9779327,37,0.7233051657676697
1656925864.3977559,38,0.733138382434845
1656925938.3442936,39,0.7348792552947998
1656926012.182946,40,0.7193359136581421
1656926085.6690264,41,0.7367607951164246
1656926159.3077583,42,0.7331840991973877
1656926232.8304846,43,0.7484619617462158
1656926306.8846645,44,0.7504144906997681
1656926380.9761813,45,0.7492887377738953
1656926454.7669508,46,0.7514938116073608
1656926528.6382523,47,0.7618408203125
1656926601.878318,48,0.7647011280059814
1656926675.5632215,49,0.7559288144111633
1656926749.1132371,50,0.7709118723869324
1656926822.588806,51,0.7569554448127747
1656926896.2057354,52,0.7613003849983215
1656926969.6168983,53,0.7805327773094177
1656927042.9412768,54,0.7725025415420532
1656927116.2334778,55,0.7778491973876953
1656927189.3682563,56,0.7839394807815552
1656927262.713044,57,0.7844902873039246
1656927336.6092536,58,0.7909160256385803
1656927409.9172537,59,0.7845722436904907
1656927483.2058074,60,0.7867320775985718
1656927556.768417,61,0.7810451984405518
1656927630.014323,62,0.7906530499458313
1656927703.5902796,63,0.7860611081123352
1656927777.3918808,64,0.796340823173523
1656927850.568151,65,0.7930335998535156
1656927923.8876135,66,0.8000369668006897
1656927997.5122983,67,0.8031327724456787
1656928070.3901937,68,0.8030509352684021
1656928144.1376789,69,0.8035454750061035
1656928217.7979455,70,0.8074431419372559
1656928291.3444486,71,0.8110362887382507
1656928364.7331288,72,0.8064760565757751
1656928438.1890407,73,0.8092763423919678
1656928512.0809019,74,0.8086798191070557
1656928584.9692073,75,0.8226907253265381
1656928658.7344518,76,0.820616602897644
1656928732.3656037,77,0.810850977897644
1656928806.0400035,78,0.8188911080360413
1656928879.2118337,79,0.82066410779953
1656928952.852271,80,0.8154042959213257
1656929026.9957902,81,0.8200773000717163
1656929100.6061864,82,0.8242779970169067
1656929174.2620153,83,0.8240715265274048
1656929248.052438,84,0.8265736699104309
1656929322.1092522,85,0.8251966834068298
1656929395.7288105,86,0.8352096676826477
1656929469.8082607,87,0.8287903666496277
1656929543.8184302,88,0.8244616985321045
1656929617.8375602,89,0.8313620686531067
1656929691.5246994,90,0.8285015821456909
1656929765.2704964,91,0.8288445472717285
1656929839.140989,92,0.8302602767944336
1656929913.0993683,93,0.8338401317596436
1656929986.8436403,94,0.8408384919166565
1656930060.4094393,95,0.8264778256416321
1656930134.1646326,96,0.8399025201797485
1656930207.7193792,97,0.8441377878189087
1656930281.0118113,98,0.8422466516494751
1656930354.7296226,99,0.8379610776901245
1656930428.0876925,100,0.8525353074073792
1656930502.137703,101,0.8478938341140747
1656930575.6558392,102,0.8512915372848511
1656930649.175847,103,0.843988835811615
1656930722.80008,104,0.8476298451423645
1656930796.489245,105,0.8492268323898315
1656930869.8972635,106,0.8552433848381042
1656930943.2646518,107,0.8513006567955017
1656931016.854968,108,0.8498319387435913
1656931090.6523004,109,0.8536028861999512
1656931163.7504413,110,0.8625116348266602
1656931236.9217024,111,0.8551214337348938
1656931310.7016902,112,0.8629750609397888
1656931384.598467,113,0.8618268966674805
1656931458.535315,114,0.8587112426757812
1656931531.8986824,115,0.8595528602600098
1656931605.8355277,116,0.861899197101593
1656931679.7274978,117,0.8652631044387817
1656931753.1222556,118,0.8634801506996155
1656931826.5243323,119,0.8569900989532471
1656931900.2145286,120,0.8688108921051025
1656931973.7709887,121,0.8715471625328064
1656932047.7850668,122,0.8690453171730042
1656932121.1642032,123,0.8638216853141785
1656932194.5192246,124,0.870945930480957
1656932267.9267662,125,0.8701534867286682
1656932341.343016,126,0.8715975880622864
1656932415.0189745,127,0.8712660074234009
1656932488.811244,128,0.872490406036377
1656932562.5246592,129,0.8663854002952576
1656932635.759421,130,0.8775447607040405
1656932709.0352101,131,0.8753696084022522
1656932781.9710555,132,0.8784031867980957
1656932855.659264,133,0.8748825192451477
1656932929.3819942,134,0.871722936630249
1656933003.3283887,135,0.8847278356552124
1656933076.9205718,136,0.886812686920166
1656933150.6497276,137,0.8762726783752441
1656933224.8128765,138,0.8823202252388
1656933298.1858408,139,0.890430748462677
1656933372.078071,140,0.8790378570556641
1656933445.6486986,141,0.8876372575759888
1656933518.8249314,142,0.8907632827758789
1656933592.2271385,143,0.8828301429748535
1656933665.7741446,144,0.8862866163253784
1656933739.5403671,145,0.8801495432853699
1656933812.7428489,146,0.8889888525009155
1656933886.7734833,147,0.8911916017532349
1656933960.127286,148,0.8864499926567078
1656934033.526034,149,0.8953980207443237
1656934106.7581854,150,0.8956072926521301
1656934180.201606,151,0.8860952854156494
1656934254.0881119,152,0.8879477977752686
1656934327.3267345,153,0.9001364707946777
1656934400.833567,154,0.900667130947113
1656934474.1217334,155,0.9005811214447021
1656934547.7265275,156,0.8974742293357849
1656934621.6203327,157,0.9000951647758484
1656934695.3925135,158,0.9053441882133484
1656934768.9922438,159,0.9058822393417358
1656934842.5227194,160,0.8995873928070068
1656934915.8098874,161,0.9012444615364075
1656934989.4144292,162,0.902309238910675
1656935063.4165018,163,0.8996824622154236
1656935137.1159923,164,0.9009472727775574
